Central_x,Central_y,Oeste_x,Oeste_y,Este_x,Este_y,Sur_x,Sur_y,Norte_x,Norte_y
0.000000,0.000000,-4983.069814,-259.709618,4983.069814,259.709618,259.709618,-4983.069814,-259.709618,4983.069814
0.000000,0.000000,-4982.808229,-261.702832,4982.808229,261.702832,261.702832,-4982.808229,-261.702832,4982.808229
0.000000,0.000000,-4982.544635,-263.695941,4982.544635,263.695941,263.695941,-4982.544635,-263.695941,4982.544635
0.000000,0.000000,-4982.279033,-265.688944,4982.279033,265.688944,265.688944,-4982.279033,-265.688944,4982.279033
0.000000,0.000000,-4982.011423,-267.681841,4982.011423,267.681841,267.681841,-4982.011423,-267.681841,4982.011423
0.000000,0.000000,-4981.741804,-269.674630,4981.741804,269.674630,269.674630,-4981.741804,-269.674630,4981.741804
0.000000,0.000000,-4981.470177,-271.667310,4981.470177,271.667310,271.667310,-4981.470177,-271.667310,4981.470177
0.000000,0.000000,-4981.196541,-273.659882,4981.196541,273.659882,273.659882,-4981.196541,-273.659882,4981.196541
0.000000,0.000000,-4980.920897,-275.652343,4980.920897,275.652343,275.652343,-4980.920897,-275.652343,4980.920897
0.000000,0.000000,-4980.643244,-277.644694,4980.643244,277.644694,277.644694,-4980.643244,-277.644694,4980.643244
0.000000,0.000000,-4980.363582,-279.636933,4980.363582,279.636933,279.636933,-4980.363582,-279.636933,4980.363582
0.000000,0.000000,-4980.081911,-281.629060,4980.081911,281.629060,281.629060,-4980.081911,-281.629060,4980.081911
0.000000,0.000000,-4979.798231,-283.621073,4979.798231,283.621073,283.621073,-4979.798231,-283.621073,4979.798231
0.000000,0.000000,-4979.512542,-285.612973,4979.512542,285.612973,285.612973,-4979.512542,-285.612973,4979.512542
0.000000,0.000000,-4979.224843,-287.604757,4979.224843,287.604757,287.604757,-4979.224843,-287.604757,4979.224843
0.000000,0.000000,-4978.935135,-289.596426,4978.935135,289.596426,289.596426,-4978.935135,-289.596426,4978.935135
0.000000,0.000000,-4978.643418,-291.587979,4978.643418,291.587979,291.587979,-4978.643418,-291.587979,4978.643418
0.000000,0.000000,-4978.349692,-293.579414,4978.349692,293.579414,293.579414,-4978.349692,-293.579414,4978.349692
0.000000,0.000000,-4978.053955,-295.570731,4978.053955,295.570731,295.570731,-4978.053955,-295.570731,4978.053955
0.000000,0.000000,-4977.756210,-297.561930,4977.756210,297.561930,297.561930,-4977.756210,-297.561930,4977.756210
0.000000,0.000000,-4977.456454,-299.553008,4977.456454,299.553008,299.553008,-4977.456454,-299.553008,4977.456454
0.000000,0.000000,-4977.154688,-301.543966,4977.154688,301.543966,301.543966,-4977.154688,-301.543966,4977.154688
0.000000,0.000000,-4976.850913,-303.534803,4976.850913,303.534803,303.534803,-4976.850913,-303.534803,4976.850913
0.000000,0.000000,-4976.545127,-305.525517,4976.545127,305.525517,305.525517,-4976.545127,-305.525517,4976.545127
0.000000,0.000000,-4976.237331,-307.516108,4976.237331,307.516108,307.516108,-4976.237331,-307.516108,4976.237331
0.000000,0.000000,-4975.927525,-309.506576,4975.927525,309.506576,309.506576,-4975.927525,-309.506576,4975.927525
0.000000,0.000000,-4975.615709,-311.496919,4975.615709,311.496919,311.496919,-4975.615709,-311.496919,4975.615709
0.000000,0.000000,-4975.301882,-313.487136,4975.301882,313.487136,313.487136,-4975.301882,-313.487136,4975.301882
0.000000,0.000000,-4974.986044,-315.477227,4974.986044,315.477227,315.477227,-4974.986044,-315.477227,4974.986044
0.000000,0.000000,-4974.668196,-317.467191,4974.668196,317.467191,317.467191,-4974.668196,-317.467191,4974.668196
0.000000,0.000000,-4974.348337,-319.457028,4974.348337,319.457028,319.457028,-4974.348337,-319.457028,4974.348337
0.000000,0.000000,-4974.026467,-321.446735,4974.026467,321.446735,321.446735,-4974.026467,-321.446735,4974.026467
0.000000,0.000000,-4973.702586,-323.436313,4973.702586,323.436313,323.436313,-4973.702586,-323.436313,4973.702586
0.000000,0.000000,-4973.376694,-325.425760,4973.376694,325.425760,325.425760,-4973.376694,-325.425760,4973.376694
0.000000,0.000000,-4973.048791,-327.415077,4973.048791,327.415077,327.415077,-4973.048791,-327.415077,4973.048791
0.000000,0.000000,-4972.718877,-329.404261,4972.718877,329.404261,329.404261,-4972.718877,-329.404261,4972.718877
0.000000,0.000000,-4972.386951,-331.393312,4972.386951,331.393312,331.393312,-4972.386951,-331.393312,4972.386951
0.000000,0.000000,-4972.053014,-333.382230,4972.053014,333.382230,333.382230,-4972.053014,-333.382230,4972.053014
0.000000,0.000000,-4971.717065,-335.371014,4971.717065,335.371014,335.371014,-4971.717065,-335.371014,4971.717065
0.000000,0.000000,-4971.379104,-337.359662,4971.379104,337.359662,337.359662,-4971.379104,-337.359662,4971.379104
